workoutid,userid,date,sessiontag,total_sets,total_reps,volume_kg,sRPE
75,1,2025-01-26,Legs,11,71,2408.0,7.36
76,1,2025-01-30,Push,10,80,2494.25,7.3
77,1,2025-01-31,Pull,5,46,1362.0,7.6
79,1,2025-02-05,Push,10,101,2989.0,6.94
80,1,2025-02-06,Pull,6,53,1568.25,7.33
81,1,2025-02-08,Legs,10,78,2221.5,7.25
82,1,2025-02-12,Push,8,67,2201.5,7.62
83,1,2025-02-14,Pull,5,54,1529.75,6.8
84,1,2025-02-15,Legs,17,137,4776.5,7.47
87,1,2025-02-22,Legs,14,111,3657.0,7.07
88,1,2025-02-26,Push,12,94,2148.5,7.29
90,1,2025-03-02,Legs,8,70,2205.5,7.12
92,1,2025-03-05,Pull,7,55,1641.0,7.5
93,1,2025-03-07,Legs,11,91,3225.0,7.64
95,1,2025-03-09,Pull,7,53,1438.75,7.64
96,1,2025-03-12,Legs,17,78,2554.25,7.69
97,1,2025-03-14,Push,15,182,5301.5,6.81
98,1,2025-03-15,Pull,13,104,3217.25,7.5
99,1,2025-03-16,Legs,14,114,4017.75,7.36
100,1,2025-03-19,Push,17,194,5876.75,7.12
101,1,2025-03-21,Pull,13,131,3429.5,7.29
102,1,2025-03-23,Legs,19,120,4241.0,7.64
103,1,2025-03-25,Push,7,85,2524.25,7.07
105,1,2025-03-29,Legs,7,66,2227.0,7.5
106,1,2025-03-30,Push,8,87,2725.0,6.94
107,1,2025-04-02,Pull,5,54,1449.75,7.33
108,1,2025-04-04,Legs,8,47,1827.75,7.62
109,1,2025-04-06,Push,8,73,2476.0,7.19
110,1,2025-04-10,Pull,5,57,1677.5,7.2
111,1,2025-04-11,Legs,9,77,2650.75,7.22
112,1,2025-04-12,Push,7,66,2002.0,7.29
113,1,2025-04-13,Pull,5,64,1845.75,7.2
114,1,2025-04-16,Legs,8,61,1885.5,7.69
115,1,2025-04-19,Push,9,66,1954.0,7.62
116,1,2025-04-20,Pull,10,97,2981.25,7.44
117,1,2025-04-23,Legs,15,109,3934.75,7.36
118,1,2025-04-24,Push,15,135,4248.0,7.33
119,1,2025-04-27,Pull,6,63,1875.75,6.92
120,1,2025-04-30,Legs,8,53,1938.25,7.5
121,1,2025-05-03,Push,9,85,2624.75,7.39
123,1,2025-05-07,Legs,10,75,2675.0,7.45
124,1,2025-05-09,Push,8,71,2359.0,7.25
125,1,2025-05-10,Pull,5,50,1554.25,7.5
126,1,2025-05-11,Legs,10,65,1990.25,7.6
127,1,2025-05-14,Push,8,63,2140.75,7.64
128,1,2025-05-16,Pull,7,85,2461.5,7.07
129,1,2025-05-17,Legs,12,86,2842.5,7.21
130,1,2025-05-18,Push,11,100,2912.25,7.68
131,1,2025-05-21,Pull,10,87,2663.5,7.55
132,1,2025-05-23,Legs,13,107,3603.75,7.19
133,1,2025-05-24,Push,7,64,1870.5,7.36
134,1,2025-05-25,Pull,7,72,2039.0,7.29
135,1,2025-05-28,Legs,11,109,3573.0,6.95
136,1,2025-05-30,Push,9,103,2979.75,6.83
137,1,2025-05-31,Pull,6,54,1600.25,7.58
138,1,2025-06-01,Legs,9,82,2946.5,7.17
139,1,2025-06-03,Push,8,74,2321.0,6.88
140,1,2025-06-06,Pull,5,54,1561.25,7.0
141,1,2025-06-07,Legs,18,126,4246.0,7.53
142,1,2025-06-11,Push,16,181,5578.25,6.81
143,1,2025-06-13,Pull,9,107,3161.25,7.0
144,1,2025-06-14,Legs,12,86,2985.5,7.62
145,1,2025-06-15,Push,14,119,4002.75,7.46
146,1,2025-06-19,Pull,7,82,2314.25,6.64
147,1,2025-06-20,Legs,9,66,2233.0,7.44
148,1,2025-06-21,Push,11,97,3126.5,7.5
150,1,2025-06-25,Legs,15,84,2746.25,7.63
151,1,2025-06-27,Push,14,147,4446.5,7.18
152,1,2025-06-28,Pull,5,50,1395.0,7.2
153,1,2025-06-29,Legs,8,71,2254.5,7.25
154,1,2025-07-02,Push,7,54,1798.5,7.29
155,1,2025-07-04,Pull,6,76,2093.75,7.0
156,1,2025-07-05,Legs,9,61,2210.5,7.75
157,1,2025-07-06,Push,8,92,2874.0,6.94
158,1,2025-07-09,Pull,8,76,2286.5,7.5
159,1,2025-07-11,Legs,9,63,2436.25,7.75
160,1,2025-07-13,Push,16,167,5534.0,7.31
162,1,2025-07-17,Legs,14,123,4371.25,7.21
163,1,2025-07-18,Push,13,137,4392.0,6.81
164,1,2025-07-20,Pull,13,148,4202.0,7.04
165,1,2025-07-23,Legs,20,113,3981.0,7.58
166,1,2025-07-25,Push,13,140,4555.75,7.19
167,1,2025-07-26,Pull,11,111,3252.0,7.18
168,1,2025-07-27,Legs,16,143,4976.75,7.23
169,1,2025-07-31,Push,7,71,1951.0,6.86
170,1,2025-08-01,Pull,7,66,1923.0,7.14
171,1,2025-08-03,Legs,10,58,2263.75,7.39
172,1,2025-08-06,Push,12,113,3622.5,7.14
173,1,2025-08-08,Pull,5,56,1612.0,7.4
174,1,2025-08-10,Legs,8,73,2768.5,7.31
175,1,2025-08-13,Push,9,82,2563.5,7.0
176,1,2025-08-15,Pull,7,76,2276.25,7.36
177,1,2025-08-16,Legs,8,74,2678.5,7.29
178,1,2025-08-17,Push,7,64,2121.25,7.14
179,1,2025-08-19,Pull,6,65,1981.75,7.0
180,1,2025-08-22,Legs,8,61,2247.25,7.64
181,1,2025-08-23,Push,8,68,2088.0,7.69
182,1,2025-08-24,Pull,5,59,1683.0,6.6
183,1,2025-08-27,Legs,11,90,3142.0,7.27
184,1,2025-08-29,Push,9,96,2798.75,6.78
186,1,2025-09-03,Legs,10,82,3177.0,7.61
188,1,2025-09-06,Pull,7,56,1829.0,7.25
189,1,2025-09-07,Legs,12,97,3606.0,7.55
190,1,2025-09-10,Push,9,85,2784.0,7.33
191,1,2025-09-12,Pull,4,36,683.0,6.62
193,1,2025-09-18,Push,8,74,2518.5,6.75
194,1,2025-09-19,Pull,5,57,1665.0,7.1
195,1,2025-09-20,Legs,12,88,3480.25,7.25
197,1,2025-09-24,Pull,10,106,3090.75,7.05
198,1,2025-09-25,Legs,17,122,4361.25,6.97
199,1,2025-09-27,Push,9,100,3082.25,6.94
200,1,2025-09-28,Pull,4,41,1321.25,7.5
201,1,2025-10-01,Legs,8,58,2078.0,6.93
202,1,2025-10-03,Push,10,86,2603.75,7.3
203,1,2025-10-04,Pull,7,69,2182.25,7.21
204,1,2025-10-08,Legs,18,126,4813.25,7.3
205,1,2025-10-10,Push,12,144,4426.5,6.95
206,1,2025-10-11,Pull,10,101,3074.5,7.05
207,1,2025-10-12,Legs,18,125,4195.25,7.32
209,1,2025-10-18,Pull,10,91,2964.5,7.05
210,1,2025-10-19,Legs,20,151,5408.0,7.63
211,1,2025-10-22,Push,16,157,5085.75,7.0
212,1,2025-10-23,Pull,7,73,2341.5,7.21
213,1,2025-10-24,Legs,9,64,2371.25,7.33
214,1,2025-10-26,Push,8,85,2291.5,7.21
215,1,2025-10-29,Pull,7,57,1886.5,7.25
216,1,2025-11-01,Legs,8,41,1703.5,7.57
217,1,2025-11-02,Push,6,55,1849.5,7.17
218,1,2025-11-04,Pull,5,62,1770.0,7.0
219,1,2025-11-08,Legs,10,59,2318.0,7.65
220,1,2025-11-09,Push,8,70,2459.5,7.38
221,1,2025-11-12,Pull,6,55,1607.75,7.25
222,1,2025-11-14,Legs,13,91,3331.5,7.5
223,1,2025-11-16,Push,13,115,3973.0,7.23
224,1,2025-11-19,Pull,7,63,2142.5,7.64
225,1,2025-11-21,Legs,11,79,2915.25,7.35
226,1,2025-11-23,Push,10,99,3475.25,7.45
228,1,2025-11-28,Legs,9,58,2187.25,7.67
229,1,2025-11-30,Push,8,88,2989.25,6.64
231,1,2025-12-05,Legs,18,153,5595.25,7.28
232,1,2025-12-06,Push,19,200,6628.25,7.08
233,1,2025-12-10,Pull,11,131,3955.5,7.27
235,1,2025-12-13,Push,15,121,3843.0,7.17
240,1,2025-12-24,Legs,10,75,2638.25,7.72
241,1,2025-12-27,Push,14,138,4218.0,7.21
242,1,2025-12-28,Pull,7,63,1971.5,7.33
244,1,2026-01-02,Push,8,74,2738.0,7.25
245,1,2026-01-04,Pull,5,59,1799.25,6.7
246,1,2026-01-05,Legs,12,119,4388.5,7.29
248,1,2026-01-10,Pull,9,103,2940.0,7.11
249,1,2026-01-11,Legs,10,81,3169.25,7.5
250,1,2026-01-14,Push,6,49,1732.75,7.75
252,1,2026-01-17,Legs,12,88,3532.5,7.25
253,1,2026-01-18,Push,7,57,2059.5,7.5
254,1,2026-01-21,Pull,4,32,1062.5,7.5
255,1,2026-01-23,Legs,6,52,1798.75,7.17
256,1,2026-01-24,Push,7,59,2249.5,7.57
257,1,2026-01-29,Pull,5,51,901.25,7.2
258,1,2026-01-30,Legs,13,93,3865.5,7.5
259,1,2026-02-01,Push,14,109,3969.25,7.46
260,2,2024-04-13,Pull,9,86,3701.0,8.12
261,2,2024-04-15,Legs,15,152,9013.5,8.13
262,2,2024-04-17,Push,8,95,4484.75,8.06
263,2,2024-04-20,Pull,7,67,3193.25,7.93
264,2,2024-04-23,Legs,8,45,2716.5,8.62
265,2,2024-04-25,Push,7,65,3021.25,8.07
267,2,2024-04-29,Legs,6,47,2915.75,8.75
268,2,2024-05-01,Push,5,46,2345.5,8.4
270,2,2024-05-07,Legs,7,49,3220.75,8.57
271,2,2024-05-08,Push,8,69,2820.25,8.38
272,2,2024-05-11,Pull,5,55,2139.0,8.5
273,2,2024-05-13,Legs,12,97,5613.0,8.54
274,2,2024-05-15,Push,10,80,3866.75,8.65
275,2,2024-05-17,Pull,7,78,2566.25,7.93
276,2,2024-05-20,Legs,9,73,4184.0,8.78
277,2,2024-05-22,Push,5,42,1981.5,8.8
278,2,2024-05-26,Pull,6,62,2331.75,7.92
279,2,2024-05-27,Legs,7,46,2782.5,8.43
280,2,2024-05-28,Push,5,41,2015.0,8.4
281,2,2024-06-02,Pull,4,50,2046.0,8.12
282,2,2024-06-06,Legs,10,85,4711.75,8.25
283,2,2024-06-08,Push,6,52,2515.5,8.58
284,2,2024-06-09,Pull,5,47,2179.0,8.3
285,2,2024-06-10,Legs,7,62,3084.25,8.5
286,2,2024-06-12,Push,11,128,5894.75,8.14
287,2,2024-06-14,Pull,9,93,3800.25,8.44
289,2,2024-06-17,Push,9,98,4370.25,8.17
290,2,2024-06-19,Pull,11,115,5106.75,8.73
291,2,2024-06-22,Legs,14,111,5922.5,8.43
292,2,2024-06-23,Push,6,68,3065.75,8.17
293,2,2024-06-26,Pull,6,63,2686.0,8.42
294,2,2024-06-29,Legs,6,40,2395.0,9.1
295,2,2024-06-30,Push,6,57,2437.75,8.5
296,2,2024-07-01,Pull,4,30,1273.0,8.5
298,2,2024-07-06,Push,5,52,2436.75,8.9
299,2,2024-07-07,Pull,5,55,2237.75,8.0
302,2,2024-07-15,Pull,11,115,5043.5,8.32
303,2,2024-07-17,Legs,10,74,4433.5,8.7
304,2,2024-07-20,Push,4,29,1419.25,9.5
305,2,2024-07-21,Pull,4,33,1413.0,8.67
306,2,2024-07-24,Legs,8,81,4685.0,8.19
307,2,2024-07-26,Push,5,69,3023.25,7.7
308,2,2024-07-28,Pull,6,84,3489.5,7.92
309,2,2024-07-31,Legs,7,59,3170.25,8.86
310,2,2024-08-03,Push,6,45,2309.5,8.25
311,2,2024-08-04,Pull,6,55,1939.25,8.5
312,2,2024-08-05,Legs,8,84,4686.25,8.38
313,2,2024-08-07,Push,7,58,2667.75,8.57
314,2,2024-08-09,Pull,7,45,2069.25,8.93
315,2,2024-08-12,Legs,10,96,5110.75,8.2
316,2,2024-08-14,Push,7,72,3259.25,8.17
317,2,2024-08-17,Pull,6,68,2808.0,8.25
318,2,2024-08-18,Legs,8,54,3225.75,8.25
319,2,2024-08-19,Push,7,72,3281.5,8.67
320,2,2024-08-21,Pull,11,148,5737.75,8.05
321,2,2024-08-25,Legs,13,110,6272.5,8.38
323,2,2024-08-31,Pull,8,82,3672.25,8.21
324,2,2024-09-02,Legs,12,85,4914.0,9.0
325,2,2024-09-04,Push,10,103,5007.75,8.6
326,2,2024-09-08,Pull,9,78,3267.25,8.78
327,2,2024-09-09,Legs,7,61,3564.5,8.5
328,2,2024-09-11,Push,5,33,1543.75,8.7
330,2,2024-09-15,Legs,7,67,3988.0,8.36
331,2,2024-09-18,Push,10,116,5397.25,8.1
333,2,2024-09-22,Legs,11,89,5817.5,8.85
334,2,2024-09-23,Push,10,92,4570.75,8.45
335,2,2024-09-24,Pull,9,81,3435.25,8.28
336,2,2024-09-28,Legs,6,32,1539.25,8.67
339,2,2024-10-06,Legs,7,50,3340.0,8.71
340,2,2024-10-07,Push,7,41,2110.75,9.0
342,2,2024-10-13,Legs,8,66,4081.75,8.31
343,2,2024-10-14,Push,9,86,3665.75,8.5
344,2,2024-10-17,Pull,10,101,3814.0,7.9
345,2,2024-10-19,Legs,16,145,7964.75,8.78
346,2,2024-10-20,Push,8,100,4710.25,8.06
347,2,2024-10-21,Pull,5,51,2159.25,8.0
348,2,2024-10-23,Legs,5,42,2592.25,8.4
349,2,2024-10-27,Push,6,57,2864.75,8.58
350,2,2024-10-29,Pull,7,80,3034.25,8.43
351,2,2024-10-31,Legs,5,44,2795.25,8.5
352,2,2024-11-02,Push,4,44,2147.0,8.38
353,2,2024-11-03,Pull,5,55,2484.75,8.12
354,2,2024-11-06,Legs,14,117,7307.75,8.38
355,2,2024-11-09,Push,5,48,2234.25,8.1
356,2,2024-11-10,Pull,4,40,1669.25,8.5
357,2,2024-11-11,Legs,7,62,3516.0,8.71
358,2,2024-11-14,Push,5,40,1936.0,8.4
359,2,2024-11-17,Pull,7,76,3294.75,8.36
360,2,2024-11-18,Legs,6,57,3461.75,8.75
361,2,2024-11-20,Push,5,41,1996.75,8.7
362,2,2024-11-23,Pull,5,32,1616.5,8.8
363,2,2024-11-24,Legs,7,61,3854.25,8.79
364,2,2024-11-25,Push,7,70,3540.25,8.21
366,2,2024-11-30,Legs,7,55,3413.5,8.43
367,2,2024-12-01,Push,5,49,2596.75,8.62
368,2,2024-12-02,Pull,11,117,4921.75,8.18
369,2,2024-12-04,Legs,5,38,2544.75,8.5
370,2,2024-12-07,Push,7,55,2897.75,8.79
371,2,2024-12-08,Pull,5,48,2504.0,8.6
372,2,2024-12-11,Legs,5,41,2472.0,8.25
373,2,2024-12-15,Push,7,71,3668.5,8.43
374,2,2024-12-18,Pull,7,78,3424.25,8.0
375,2,2024-12-21,Legs,9,84,5008.25,8.33
376,2,2024-12-23,Push,6,58,2928.5,8.67
378,2,2024-12-27,Legs,14,105,6544.25,8.61
379,2,2024-12-29,Push,6,62,2781.75,8.33
380,2,2024-12-30,Pull,4,40,1827.5,8.62
381,2,2025-01-01,Legs,8,62,3761.25,8.69
382,2,2025-01-04,Push,6,60,3085.0,8.92
383,2,2025-01-06,Pull,6,62,2796.75,8.0
384,2,2025-01-07,Legs,7,66,3938.5,8.64
385,2,2025-01-11,Push,5,68,3296.25,8.3
386,2,2025-01-12,Pull,5,56,2238.0,8.5
387,2,2025-01-14,Legs,9,87,5264.25,7.94
388,2,2025-01-18,Push,3,34,1710.5,8.33
389,2,2025-01-20,Pull,10,95,4213.25,8.7
390,2,2025-01-21,Legs,8,58,3497.5,9.12
391,2,2025-01-25,Push,6,57,2761.0,8.08
392,2,2025-01-27,Pull,4,53,2229.5,7.88
393,2,2025-01-29,Legs,8,64,3897.75,8.62
395,2,2025-02-02,Pull,6,44,2278.75,8.42
396,2,2025-02-03,Legs,7,64,3961.25,8.21
397,2,2025-02-05,Push,6,69,3215.0,8.5
398,2,2025-02-07,Pull,13,117,5420.0,8.31
399,2,2025-02-09,Legs,10,78,5037.0,8.65
400,2,2025-02-10,Push,5,48,2460.25,8.2
401,2,2025-02-12,Pull,5,59,2633.0,8.4
402,2,2025-02-14,Legs,5,41,2543.5,9.1
403,2,2025-02-16,Push,5,54,2603.5,8.1
404,2,2025-02-17,Pull,5,57,2516.25,8.1
405,2,2025-02-19,Legs,6,48,3132.25,8.17
406,2,2025-02-21,Push,7,67,3395.25,8.36
408,2,2025-02-24,Legs,8,60,4139.0,8.88
409,2,2025-02-27,Push,6,52,2540.25,8.25
410,2,2025-03-01,Pull,4,36,1763.5,8.5
411,2,2025-03-02,Legs,9,68,4253.0,8.5
412,2,2025-03-03,Push,7,70,3389.25,8.21
413,2,2025-03-06,Pull,5,65,2579.75,7.7
414,2,2025-03-09,Legs,13,107,6653.25,8.42
415,2,2025-03-12,Push,6,62,2932.0,8.33
416,2,2025-03-15,Pull,8,82,3772.25,8.44
417,2,2025-03-16,Legs,14,106,6791.75,8.68
418,2,2025-03-19,Push,10,112,5095.75,8.3
420,2,2025-03-23,Legs,14,106,6689.25,8.71
421,2,2025-03-25,Push,11,110,5351.25,8.32
422,2,2025-03-26,Pull,8,64,2855.75,8.56
423,2,2025-03-30,Legs,5,45,2484.5,8.4
424,2,2025-03-31,Push,7,74,3722.25,8.5
425,2,2025-04-02,Pull,5,29,1479.25,9.0
426,2,2025-04-05,Legs,9,73,4773.5,8.56
427,2,2025-04-06,Push,5,55,2528.0,8.0
428,2,2025-04-07,Pull,5,60,2531.5,8.2
429,2,2025-04-09,Legs,9,72,4772.25,8.62
430,2,2025-04-12,Push,4,29,1534.5,8.62
431,2,2025-04-13,Pull,5,63,2940.25,8.2
432,2,2025-04-14,Legs,9,66,4106.75,8.11
433,2,2025-04-16,Push,11,93,4651.5,8.68
434,2,2025-04-19,Pull,10,118,4946.0,8.0
435,2,2025-04-21,Legs,7,63,3649.75,8.43
436,2,2025-04-23,Push,7,64,3299.25,8.5
437,2,2025-04-25,Pull,6,77,3056.5,7.83
438,2,2025-04-26,Legs,8,63,3893.75,8.75
439,2,2025-04-28,Push,5,54,2677.0,8.4
440,2,2025-04-30,Pull,4,45,1979.5,8.75
441,2,2025-05-03,Legs,6,36,2219.5,8.58
442,2,2025-05-04,Push,7,51,2683.75,8.71
443,2,2025-05-05,Pull,6,68,3293.5,8.25
444,2,2025-05-06,Legs,8,67,4272.5,8.38
445,2,2025-05-11,Push,6,66,3263.25,8.0
446,2,2025-05-12,Pull,6,57,2565.75,8.25
447,2,2025-05-14,Legs,6,38,2500.25,8.5
448,2,2025-05-18,Push,8,79,3908.25,8.5
449,2,2025-05-19,Pull,9,97,4371.25,8.22
450,2,2025-05-21,Legs,12,92,5561.5,8.67
451,2,2025-05-24,Push,8,89,4495.25,8.25
452,2,2025-05-25,Pull,5,61,2778.25,8.2
453,2,2025-05-26,Legs,5,38,2013.5,8.62
455,2,2025-05-30,Pull,4,37,1782.0,8.38
457,2,2025-06-02,Push,9,72,3931.25,8.44
458,2,2025-06-03,Pull,7,72,3633.0,7.86
459,2,2025-06-07,Legs,10,74,5058.25,8.4
460,2,2025-06-08,Push,6,63,3176.5,8.58
461,2,2025-06-11,Pull,7,74,3409.25,8.57
463,2,2025-06-16,Push,6,56,3261.75,8.75
464,2,2025-06-19,Pull,9,90,4311.25,8.0
465,2,2025-06-21,Legs,9,89,5719.25,8.56
466,2,2025-06-22,Push,12,139,6595.5,8.04
467,2,2025-06-23,Pull,6,58,2705.5,8.08
468,2,2025-06-26,Legs,5,54,3724.75,8.3
469,2,2025-06-28,Push,4,48,2237.0,7.75
470,2,2025-06-29,Pull,6,48,2487.5,9.0
471,2,2025-07-02,Legs,7,59,3213.25,8.86
472,2,2025-07-05,Push,6,58,3082.5,8.42
473,2,2025-07-06,Pull,7,83,3573.25,8.29
474,2,2025-07-07,Legs,5,35,2419.0,8.25
475,2,2025-07-09,Push,6,59,3137.25,8.33
476,2,2025-07-12,Pull,6,53,2469.5,8.7
477,2,2025-07-14,Legs,6,60,3793.0,8.0
478,2,2025-07-17,Push,10,93,4579.75,8.5
479,2,2025-07-19,Pull,8,83,3994.25,8.5
480,2,2025-07-20,Legs,7,48,3371.5,8.86
481,2,2025-07-21,Push,5,62,3029.25,7.9
482,2,2025-07-23,Pull,6,62,2894.25,8.33
483,2,2025-07-26,Legs,7,59,3817.5,8.71
484,2,2025-07-27,Push,8,72,3800.5,8.5
485,2,2025-07-29,Pull,5,49,2171.0,8.5
486,2,2025-07-30,Legs,6,49,3033.5,8.5
487,2,2025-08-02,Push,5,35,1844.75,8.2
488,2,2025-08-03,Pull,6,56,2710.0,8.08
489,2,2025-08-04,Legs,8,60,4366.5,8.44
490,2,2025-08-05,Push,7,76,3722.25,8.43
491,2,2025-08-09,Pull,6,72,3212.0,8.08
492,2,2025-08-10,Legs,7,56,3852.0,9.08
494,2,2025-08-14,Pull,7,76,3780.5,8.71
495,2,2025-08-16,Legs,13,67,4751.25,8.35
496,2,2025-08-17,Push,6,63,3091.0,8.08
497,2,2025-08-18,Pull,5,45,1913.5,8.6
498,2,2025-08-20,Legs,4,37,2293.25,8.17
499,2,2025-08-23,Push,5,46,1709.5,9.0
500,2,2025-08-24,Pull,6,58,2455.5,8.75
501,2,2025-08-26,Legs,5,37,2406.75,8.7
502,2,2025-08-29,Push,5,53,2727.5,8.3
503,2,2025-08-31,Pull,4,38,1850.5,8.62
504,2,2025-09-01,Legs,6,60,3560.25,8.08
505,2,2025-09-03,Push,6,69,3758.0,8.25
506,2,2025-09-06,Pull,4,43,2007.5,8.25
507,2,2025-09-09,Legs,12,131,7811.75,8.08
509,2,2025-09-13,Pull,12,151,6923.0,8.12
510,2,2025-09-14,Legs,6,59,3986.25,8.67
511,2,2025-09-15,Push,5,47,2643.75,8.1
512,2,2025-09-17,Pull,5,68,3014.5,8.0
513,2,2025-09-20,Legs,4,33,2097.5,8.5
514,2,2025-09-22,Push,7,63,3282.25,8.57
515,2,2025-09-23,Pull,5,43,2150.0,8.3
516,2,2025-09-27,Legs,7,50,3353.0,8.75
517,2,2025-09-28,Push,6,60,3325.75,8.25
518,2,2025-10-01,Pull,7,73,3576.75,8.57
519,2,2025-10-04,Legs,9,54,3528.0,8.67
520,2,2025-10-05,Push,4,29,1225.5,9.12
521,2,2025-10-06,Pull,8,82,3913.5,8.38
522,2,2025-10-08,Legs,8,50,3360.5,8.56
523,2,2025-10-12,Push,8,85,4488.5,8.25
524,2,2025-10-13,Pull,7,73,3281.0,8.29
525,2,2025-10-15,Legs,6,55,3674.5,7.92
526,2,2025-10-18,Push,7,71,2807.25,8.5
527,2,2025-10-19,Pull,5,49,2552.5,8.3
528,2,2025-10-23,Legs,9,80,5533.25,8.56
529,2,2025-10-25,Push,5,45,2435.0,8.0
530,2,2025-10-26,Pull,5,54,2620.5,8.12
531,2,2025-10-28,Legs,6,56,3658.75,8.67
532,2,2025-10-29,Push,7,76,4167.0,8.5
535,2,2025-11-03,Push,5,59,3197.5,8.3
536,2,2025-11-05,Pull,6,64,3163.25,8.08
537,2,2025-11-08,Legs,6,65,4250.5,7.83
538,2,2025-11-10,Push,12,121,6163.5,8.25
539,2,2025-11-11,Pull,9,94,4879.75,8.06
540,2,2025-11-15,Legs,8,61,4381.0,8.69
541,2,2025-11-16,Push,6,72,3586.75,8.3
542,2,2025-11-17,Pull,5,57,2801.0,8.75
543,2,2025-11-19,Legs,4,26,1722.25,8.62
544,2,2025-11-22,Push,5,38,2266.25,8.8
545,2,2025-11-23,Pull,5,37,1947.0,9.1
546,2,2025-11-24,Legs,9,67,4747.0,8.69
547,2,2025-11-26,Push,8,96,4465.75,8.0
548,2,2025-11-29,Pull,8,75,4044.75,8.38
549,2,2025-12-02,Legs,13,121,7450.5,8.58
550,2,2025-12-03,Push,8,92,4895.75,8.44
551,2,2025-12-06,Pull,13,148,6775.5,8.35
552,2,2025-12-07,Legs,11,81,5451.25,8.41
553,2,2025-12-08,Push,12,137,6997.5,8.36
554,2,2025-12-09,Pull,7,71,3336.25,8.36
555,2,2025-12-13,Legs,6,47,3211.25,8.17
556,2,2025-12-14,Push,6,60,3160.0,7.83
557,2,2025-12-17,Pull,8,70,3462.0,8.69
558,2,2025-12-20,Legs,7,53,4039.25,8.79
559,2,2025-12-21,Push,8,78,4198.5,8.21
561,2,2025-12-24,Legs,6,62,4193.25,8.25
